รหัสพัสดุ,ชื่อพัสดุ,หน่วย,ราคากลาง,ราคามาตรฐาน,Ref_เหนือ,Ref_อีสาน,Ref_กลาง,Ref_ใต้,Std_เหนือ,Std_อีสาน,Std_กลาง,Std_ใต้
1010010007,"ST. ANG.,OHGW. CORNER BAYONET 3 M.LONG",EA,,467,,,,,,,,
1010010100,"ST. ANGLE 75X75X6 MM. 3,500 MM.LONG",EA,1211,1211,,,,,,,,
1010010101,"ST. ANGLE 75X75X6 MM. 4,100 MM.LONG",EA,1453,1616,,,,,,,,
1010010102,"ST. ANGLE 75X75X6 MM. 4,500 MM.LONG",EA,,3328,,,,,,,,
1010010200,ST. ANG. 100X100X7 MM. 4.2M.LONG,EA,,1135,,,,,,,,
1010020001,"ST. CHANNEL, 100X50X5 MM. 4 M.LONG",EA,,2450,,,,,,,,
1010030002,ST. PLATE 6X100X450 MM.,EA,120,120,,,,,,,,
1010030003,ST. PLATE 6X100X500 MM.,EA,,200,,,,,,,,
1010030004,ST. PLATE 6X100X750 MM.,EA,,231,,,,,,,,
1010030005,ST. PLATE 6X100X900 MM.,EA,,298,,,,,,,,
1010030006,"ST. PLATE,OHGW. BAYONE,DWG.SA3-015/44004",EA,24.9,24.9,,,,,,,,
1010030007,"ST. PLATE, FOR GW., DWG.SA3-015/44004",EA,43.8,43.8,,,,,,,,
1010030008,ST. PLATE 5X40X110 MM.,EA,,31.2,,,,,,,,
1010030009,"ST. PLATE, CLEVIS FOR TELECOM. CABLE",EA,,56.7,,,,,,,,
1010030100,ST. PLATE DOUBLE ARMING 12X100X650 MM.,EA,374,374,,,,,,,,
1010030102,ST. PLATE DOUBLE ARMING 12X100X760 MM.,EA,437,437,,,,,,,,
1010030200,"ST. PLATE, SINGLE STUB FOR 12.00 M POLE",EA,,5120,,,,,,,,
1010030201,"ST. PLATE, SINGLE STUB FOR 12.20 M POLE",EA,,5180,,,,,,,,
1010030202,"ST. PLATE, SINGLE STUB FOR 14.00 M POLE",EA,,5320,,,,,,,,
1010030203,"ST. PLATE, SINGLE STUB FOR 14.30 M POLE",EA,,7320,,,,,,,,
1010030204,"ST. PLATE, SINGLE STUB FOR 16.00 M POLE",EA,,3440,,,,,,,,
1010030300,"ST. PLATE, DOUBLE STUB FOR 12.00 M POLE",EA,,3500,,,,,,,,
1010030301,"ST. PLATE, DOUBLE STUB FOR 12.20 M POLE",EA,,4200,,,,,,,,
1010030302,"ST. PLATE, DOUBLE STUB FOR 14.00 M POLE",EA,,4040,,,,,,,,
1010030303,"ST. PLATE, DOUBLE STUB FOR 14.30 M POLE",EA,,4680,,,,,,,,
1010030304,"ST. PLATE, DOUBLE STUB FOR 16.00 M POLE",EA,,4500,,,,,,,,
1010050000,"ST. PIPE,SIZE 20, 100 MM.LONG W/O T.E.",EA,21.3,21.3,,,,,,,,
1010050001,"ST. PIPE,SIZE 20, 120 MM.LONG W/O T.E.",EA,,209,,,,,,,,
1010050002,"ST. PIPE,SIZE 20, 150 MM.LONG W/O T.E.",EA,27.4,27.4,,,,,,,,
1010050003,"ST. PIPE,SIZE 20, 180 MM.LONG W/O T.E.",EA,,52.8,,,,,,,,
1010050004,"ST. PIPE,SIZE 20, 200 MM.LONG W/O T.E.",EA,,74.3,,,,,,,,
1010050005,"ST. PIPE,SIZE 20, 230 MM.LONG W/O T.E.",EA,,103,,,,,,,,
1010050006,"ST. PIPE,SIZE 20, 300 MM.LONG W/O T.E.",EA,,170,,,,,,,,
1010050007,"ST. PIPE,SIZE 20, 350 MM.LONG W/O T.E.",EA,,113,,,,,,,,
1010050009,"ST. PIPE,SIZE 20, 75 MM.LONG  W/O T.E.",EA,,36.3,,,,,,,,
1010050010,"ST. PIPE,SIZE 20, 250 MM.LONG W/O T.E.",EA,,65.5,,,,,,,,
1010050100,"ST. PIPE,SIZE 25, 200 MM.LONG W/O T.E.",EA,,103,,,,,,,,
1010050101,"ST. PIPE,SIZE 25, 470 MM.LONG W/O T.E.",EA,,222,,,,,,,,
1010050200,"ST. TUBE, 100X50X3.2 MM., 100 MM.LONG",EA,,58.9,,,,,,,,
1010050201,"ST. BEAM, 100X100X3.2 MM. 2 M.LONG",EA,,2743,,,,,,,,
1010060013,"ST. SUPPORT,DWG.SA2-015/42006",EA,,1208,,,,,,,,
1010060015,"CONDUIT ST. GUARD,POLE 12&14 M.",EA,,11000,,,,,,,,
1010060017,"CONDUIT ST. GUARD,POLE 12.2 M.",EA,,5180,,,,,,,,
1010060018,"CONDUIT ST. GUARD,POLE 14.3 M.",EA,,4838,,,,,,,,
